"year","engineManufacturerId","positionNumber","positionText","bestStartingGridPosition","bestRaceResult","totalRaceEntries","totalRaceStarts","totalRaceWins","totalRaceLaps","totalPodiums","totalPodiumRaces","totalPoints","totalPolePositions","totalFastestLaps"
1950,"alfa-romeo",,,1,1,6,6,6,1005,12,6,89,6,6
1950,"offenhauser",,,1,1,1,1,1,3652,3,1,24,1,1
1950,"maserati",,,3,3,6,6,0,952,1,1,11,0,0
1950,"talbot-lago",,,4,3,6,6,0,1264,2,2,20,0,0
1950,"era",,,10,6,3,3,0,286,0,0,0,0,0
1950,"jaguar",,,25,,1,1,0,17,0,0,0,0,0
1950,"cummins",,,32,29,1,1,0,52,0,0,0,0,0
1950,"gordini",,,10,4,3,3,0,81,0,0,3,0,0
1950,"alta",,,12,9,2,2,0,130,0,0,0,0,0
1950,"jap",,,20,,1,1,0,0,0,0,0,0,0
1950,"ferrari",,,2,2,5,5,0,592,3,3,21,0,0
1950,"milano",,,11,,2,2,0,30,0,0,0,0,0
1951,"alfa-romeo",,,1,1,7,7,4,1293,9,7,75,4,7
1951,"offenhauser",,,2,1,1,1,1,3451,3,1,24,0,1
1951,"maserati",,,15,7,5,5,0,282,0,0,0,0,0
1951,"era",,,10,8,1,1,0,166,0,0,0,0,0
1951,"brm",,,8,5,2,1,0,169,0,0,2,0,0
1951,"talbot-lago",,,7,4,7,7,0,1582,0,0,5,0,0
1951,"ferrari",,,1,1,7,7,3,1435,12,7,86,3,0
1951,"gordini",,,9,6,4,4,0,359,0,0,0,0,0
1951,"alta",,,14,8,2,2,0,138,0,0,0,0,0
1951,"novi",,,1,10,1,1,0,207,0,0,0,1,0
1951,"osca",,,18,9,2,2,0,68,0,0,0,0,0
1951,"veritas",,,16,,1,1,0,0,0,0,0,0,0
1951,"milano",,,15,,1,1,0,2,0,0,0,0,0
1952,"veritas",,,7,7,3,3,0,89,0,0,0,0,0
1952,"kuchen",,,14,,1,1,0,4,0,0,0,0,0
1952,"bristol",,,3,3,6,6,0,1189,1,1,15,0,0
1952,"gordini",,,3,3,7,7,0,1098,2,2,17,0,0
1952,"offenhauser",,,2,1,1,1,1,4748,3,1,24,0,1
1952,"bmw",,,9,9,2,2,0,124,0,0,0,0,0
1952,"lea-francis",,,5,4,3,3,0,491,0,0,5,0,0
1952,"cummins",,,1,27,1,1,0,71,0,0,0,1,0
1952,"ferrari",,,1,1,8,8,7,2140,17,7,120.5,7,7
1952,"osca",,,10,,1,1,0,0,0,0,0,0,0
1952,"plate",,,8,6,4,3,0,284,0,0,0,0,0
1952,"maserati",,,5,2,5,5,0,627,1,1,8.5,0,1
1952,"alta",,,6,5,7,6,0,994,0,0,2,0,0
1952,"novi",,,4,25,1,1,0,125,0,0,0,0,0
1952,"bpm",,,,,1,0,0,0,0,0,0,0,0
1952,"butterworth",,,15,,4,2,0,19,0,0,0,0,0
1953,"offenhauser",,,1,1,1,1,1,4423,3,1,24.0,1,1
1953,"veritas",,,14,9,2,2,0,66,0,0,0,0,0
1953,"alta",,,10,6,7,7,0,780,0,0,0,0,0
1953,"bristol",,,9,7,7,7,0,798,0,0,0,0,0
1953,"lea-francis",,,9,7,6,6,0,746,0,0,0,0,0
1953,"bmw",,,21,14,1,1,0,36,0,0,0,0,0
1953,"ferrari",,,1,1,8,8,7,2530,16,8,122.5,6,6
1953,"osca",,,13,10,4,2,0,150,0,0,0,0,0
1953,"maserati",,,1,1,8,8,1,2096,8,7,65.5,2,4
1953,"gordini",,,4,5,8,8,0,1035,0,0,4,0,0
1953,"novi",,,26,11,1,1,0,191,0,0,0,0,0
1953,"emw",,,24,,1,1,0,12,0,0,0,0,0
1954,"offenhauser",,,1,1,1,1,1,5619,3,1,24.0,1,1
1954,"lea-francis",,,17,11,1,1,0,347,0,0,0,0,0
1954,"bristol",,,18,10,1,1,0,131,0,0,0,0,0
1954,"mercedes",,,1,1,6,6,4,945,7,5,60.14,4,4
1954,"ferrari",,,1,1,8,8,2,1752,12,8,80.28,2,4
1954,"maserati",,,1,1,8,8,2,2660,5,4,46.42,1,4
1954,"gordini",,,5,5,8,8,0,701,0,0,4.14,0,1
1954,"bmw",,,21,,1,1,0,8,0,0,0,0,0
1954,"alta",,,15,,2,2,0,14,0,0,0,0,0
1954,"lancia",,,1,,1,1,0,12,0,0,1,1,1
1954,"vanwall",,,11,7,3,2,0,91,0,0,0,0,0
1955,"offenhauser",,,1,1,1,1,1,4536,3,1,24,1,1
1955,"maserati",,,3,3,6,6,0,1793,2,2,23,0,1
1955,"alta",,,14,,2,1,0,67,0,0,0,0,0
1955,"bristol",,,25,,1,1,0,30,0,0,0,0,0
1955,"mercedes",,,1,1,6,6,5,1207,10,5,79,4,5
1955,"gordini",,,9,7,5,5,0,631,0,0,0,0,0
1955,"ferrari",,,1,1,6,6,1,1379,5,4,33.99,1,0
1955,"lancia",,,1,2,4,3,0,448,1,1,8,1,0
1955,"vanwall",,,7,9,4,4,0,129,0,0,0,0,0
1956,"maserati",,,1,1,7,7,2,2738,10,7,72.0,1,3
1956,"offenhauser",,,1,1,1,1,1,5053,3,1,23,1,0
1956,"bugatti",,,18,,1,1,0,18,0,0,0,0,0
1956,"bristol",,,22,11,1,1,0,88,0,0,0,0,0
1956,"alta",,,10,3,3,3,0,312,1,1,9,0,0
1956,"gordini",,,11,5,5,5,0,674,0,0,2,0,0
1956,"ferrari",,,1,1,7,7,5,1472,10,7,80.5,6,4
1956,"novi",,,8,33,1,1,0,21,0,0,1,0,1
1956,"brm",,,3,,2,1,0,65,0,0,0,0,0
1956,"vanwall",,,4,4,5,5,0,335,0,0,3,0,0
1957,"offenhauser",,,1,1,1,1,1,4286,3,1,21,1,1
1957,"bristol",,,18,6,1,1,0,82,0,0,0,0,0
1957,"maserati",,,1,1,7,7,4,2472,10,6,78,5,3
1957,"alta",,,13,4,1,1,0,149,0,0,3,0,0
1957,"climax",,,13,5,5,5,0,410,0,0,2,0,0
1957,"porsche",,,12,12,1,1,0,54,0,0,0,0,0
1957,"novi",,,10,4,1,1,0,395,0,0,3,0,0
1957,"brm",,,11,,3,3,0,176,0,0,0,0,0
1957,"ferrari",,,2,2,7,7,0,1618,7,4,48,0,1
1957,"vanwall",,,1,1,6,6,3,694,4,4,37,2,3
1958,"climax",3,"3",3,1,10,10,2,2298,5,4,41,0,0
1958,"maserati",5,"5",1,4,10,10,0,1684,0,0,9,1,1
1958,"alta",,,17,,2,1,0,26,0,0,0,0,0
1958,"offenhauser",,,1,1,1,1,1,3493,3,1,24,1,1
1958,"porsche",,,13,6,2,2,0,87,0,0,0,0,0
1958,"novi",,,14,10,1,1,0,322,0,0,0,0,0
1958,"osca",,,,,1,0,0,0,0,0,0,0,0
1958,"brm",4,"4",2,2,9,9,0,812,2,1,24,0,0
1958,"ferrari",2,"2",1,1,10,10,2,1531,14,8,93,4,6
1958,"vanwall",1,"1",1,1,9,9,6,921,9,7,68,5,3
1959,"climax",1,"1",1,1,8,8,5,2556,13,7,102.5,5,5
1959,"offenhauser",,,1,1,2,2,1,4843,3,1,24,1,1
1959,"porsche",,,12,7,4,3,0,107,0,0,0,0,0
1959,"brm",3,"3",1,1,7,7,1,1138,2,2,22.5,1,2
1959,"borgward",,,16,10,1,1,0,139,0,0,0,0,0
1959,"maserati",,,8,6,7,7,0,729,0,0,0,0,0
1959,"alta",,,13,,1,1,0,0,0,0,0,0,0
1959,"aston-martin",,,2,6,4,4,0,402,0,0,0,0,0
1959,"osca",,,14,,1,1,0,13,0,0,0,0,0
1959,"ferrari",2,"2",1,1,7,7,2,1383,9,6,67,2,2
1959,"vanwall",,,17,,1,1,0,13,0,0,0,0,0
1960,"offenhauser",,,1,1,1,1,1,4856,3,1,24,1,1
1960,"maserati",5,"5",7,4,8,8,0,1060,0,0,3,0,0
1960,"climax",1,"1",1,1,9,9,8,4149,21,8,154,8,8
1960,"porsche",7,"7",10,6,2,2,0,211,0,0,1,0,0
1960,"aston-martin",,,13,11,2,1,0,116,0,0,0,0,0
1960,"ferrari",3,"3",1,1,9,9,1,1400,5,3,43,1,2
1960,"brm",4,"4",2,3,8,8,0,909,1,1,8,0,1
1960,"scarab",,,15,10,5,2,0,87,0,0,0,0,0
1960,"castellotti",5,"5",4,4,4,3,0,184,0,0,3,0,0
1960,"vanwall",,,14,,1,1,0,7,0,0,0,0,0
1961,"climax",2,"2",1,1,8,8,3,4780,7,6,77,2,4
1961,"porsche",3,"3",3,2,8,8,0,1316,3,3,24,0,0
1961,"maserati",,,15,7,6,6,0,412,0,0,0,0,0
1961,"ferrari",1,"1",1,1,7,7,5,1206,14,7,99,6,5
1961,"alfa-romeo",,,20,,1,1,0,14,0,0,0,0,0
1961,"osca",,,26,,2,2,0,16,0,0,0,0,0
1962,"climax",2,"2",1,1,9,9,4,4751,13,9,112,7,6
1962,"brm",1,"1",1,1,9,9,4,1340,8,7,63,1,3
1962,"porsche",5,"5",1,1,9,9,1,1200,2,2,20,1,0
1962,"maserati",,,25,16,1,1,0,14,0,0,0,0,0
1962,"alfa-romeo",,,14,,1,1,0,93,0,0,0,0,0
1962,"de-tomaso",,,,,1,0,0,0,0,0,0,0,0
1962,"ferrari",6,"6",4,2,6,6,0,1104,4,3,30,0,0
1962,"osca",,,,,1,0,0,0,0,0,0,0,0
1963,"climax",1,"1",1,1,10,10,7,4634,17,10,139,7,7
1963,"ats",,,13,11,5,5,0,250,0,0,0,0,0
1963,"brm",2,"2",1,1,10,10,2,3099,10,8,75,2,0
1963,"ford",,,14,7,2,2,0,203,0,0,0,0,0
1963,"porsche",7,"7",15,4,8,7,0,443,0,0,5,0,0
1963,"borgward",,,,,1,0,0,0,0,0,0,0,0
1963,"alfa-romeo",,,16,11,1,1,0,133,0,0,0,0,0
1963,"maserati",,,19,12,2,1,0,77,0,0,0,0,0
1963,"ferrari",4,"4",1,1,10,10,1,853,3,3,27,1,3
1964,"climax",3,"3",1,1,10,10,5,3927,12,8,101,7,7
1964,"ford",,,19,14,1,1,0,56,0,0,0,0,0
1964,"brm",2,"2",1,1,10,10,2,4101,8,6,85,1,1
1964,"ats",,,19,,1,1,0,24,0,0,0,0,0
1964,"porsche",,,17,,2,1,0,8,0,0,0,0,0
1964,"honda",,,10,13,3,3,0,73,0,0,0,0,0
1964,"ferrari",1,"1",1,1,10,10,3,1156,10,7,64,2,2
1965,"climax",1,"1",1,1,10,10,6,3912,14,9,117,6,7
1965,"ford",,,16,9,2,1,0,152,0,0,0,0,0
1965,"honda",6,"6",3,1,8,8,1,604,1,1,13,0,0
1965,"brm",2,"2",1,1,10,10,3,3248,11,9,88,4,3
1965,"alfa-romeo",,,17,10,1,1,0,152,0,0,0,0,0
1965,"ferrari",4,"4",2,2,10,10,0,1343,4,4,32,0,0
1966,"climax",6,"6",1,3,9,9,0,1102,1,1,13,2,0
1966,"weslake",,,14,,3,3,0,44,0,0,0,0,0
1966,"maserati",3,"3",1,1,9,9,1,1851,6,4,49,1,2
1966,"brm",4,"4",2,1,9,9,2,1972,5,4,48,0,0
1966,"repco",1,"1",1,1,9,9,4,724,9,6,63,3,2
1966,"ford",9,"9",10,5,5,4,0,214,0,0,2,0,0
1966,"serenissima",10,"10",13,6,3,1,0,78,0,0,1,0,0
1966,"honda",8,"8",3,4,3,3,0,279,0,0,3,0,1
1966,"ferrari",2,"2",1,1,8,8,2,731,6,4,42,3,4
1967,"climax",8,"8",5,2,7,7,0,665,1,1,8,0,1
1967,"weslake",7,"7",2,1,10,10,1,295,2,2,13,0,2
1967,"bmw",,,14,10,1,1,0,19,0,0,0,0,0
1967,"brm",6,"6",3,2,11,11,0,2094,3,3,30,0,0
1967,"repco",1,"1",1,1,11,11,4,1651,14,9,100,2,2
1967,"ats",,,20,,1,1,0,29,0,0,0,0,0
1967,"maserati",3,"3",4,1,11,11,1,1967,1,1,31,0,0
1967,"ford",2,"2",1,1,10,10,4,1271,6,5,50,9,6
1967,"honda",4,"4",3,1,9,9,1,506,2,2,20,0,0
1967,"ferrari",5,"5",2,3,10,10,0,1012,4,4,23,0,0
1968,"weslake",,,6,9,5,5,0,108,0,0,0,0,0
1968,"ford",1,"1",1,1,12,12,11,3941,20,12,176,5,8
1968,"bmw",,,18,10,1,1,0,14,0,0,0,0,0
1968,"brm",5,"5",2,2,12,12,0,2509,6,5,51,0,2
1968,"repco",8,"8",1,3,12,12,0,1035,2,2,12,2,0
1968,"climax",,,20,,2,1,0,92,0,0,0,0,0
1968,"maserati",,,15,7,1,1,0,130,0,0,0,0,0
1968,"honda",6,"6",1,2,12,12,0,617,2,2,14,1,1
1968,"matra",9,"9",8,2,10,10,0,514,1,1,8,0,1
1968,"ferrari",4,"4",1,1,11,11,1,964,5,4,37,4,0
1969,"ford",1,"1",1,1,11,11,11,6907,31,11,261,11,12
1969,"maserati",,,16,7,1,1,0,74,0,0,0,0,0
1969,"bmw",,,,,1,0,0,0,0,0,0,0,0
1969,"repco",,,16,8,1,1,0,140,0,0,0,0,0
1969,"climax",,,17,,1,1,0,32,0,0,0,0,0
1969,"ferrari",5,"5",2,3,10,10,0,599,1,1,7,0,0
1969,"brm",5,"5",6,3,10,10,0,996,1,1,7,0,0
1970,"ford",1,"1",1,1,13,13,8,8543,25,13,199,8,7
1970,"alfa-romeo",,,12,8,10,4,0,216,0,0,0,0,0
1970,"matra",7,"7",2,3,13,13,0,1353,3,3,24,0,0
1970,"ferrari",2,"2",1,1,13,13,4,1304,9,6,76,5,8
1970,"brm",6,"6",2,1,13,13,1,1354,2,2,25,0,0
1971,"ford",1,"1",1,1,11,11,7,7021,21,10,179,6,6
1971,"matra",7,"7",1,3,10,10,0,849,1,1,10,1,0
1971,"pratt-whitney",,,18,8,3,3,0,117,0,0,0,0,0
1971,"ferrari",3,"3",1,1,11,11,2,1078,7,5,44,3,4
1971,"alfa-romeo",,,12,11,10,9,0,367,0,0,0,0,0
1971,"brm",2,"2",1,1,11,11,2,1740,4,4,42,1,1
1972,"ford",1,"1",1,1,12,12,10,10682,28,12,227,7,6
1972,"matra",8,"8",1,3,12,11,0,657,1,1,12,1,2
1972,"brm",7,"7",4,1,12,12,1,2007,1,1,14,0,1
1972,"tecno",,,18,,8,6,0,126,0,0,0,0,0
1972,"ferrari",4,"4",1,1,12,12,1,1601,6,4,47,4,3
1973,"ford",1,"1",1,1,15,15,15,12960,45,15,347,14,16
1973,"brm",7,"7",1,4,15,15,0,2033,0,0,13,1,0
1973,"tecno",11,"11",12,6,5,4,0,117,0,0,1,0,0
1973,"ferrari",6,"6",3,4,13,13,0,1016,0,0,14,0,0
1974,"ford",1,"1",1,1,15,15,12,14654,32,15,275,5,9
1974,"ferrari",2,"2",1,1,15,15,3,1678,12,8,90,10,6
1974,"brm",7,"7",7,2,15,15,0,1491,1,1,10,0,0
1975,"ford",2,"2",1,1,14,14,8,11893,31,14,235.5,5,8
1975,"matra",,,13,,2,2,0,42,0,0,0,0,0
1975,"ferrari",1,"1",1,1,14,14,6,1361,11,8,89.5,9,6
1975,"brm",,,20,9,11,10,0,352,0,0,0,0,0
1976,"ford",2,"2",1,1,16,16,10,14579,32,15,270,11,8
1976,"matra",6,"6",1,2,16,16,0,824,3,3,20,1,1
1976,"alfa-romeo",9,"9",3,4,16,16,0,1194,0,0,11,0,0
1976,"ferrari",1,"1",1,1,15,15,6,1685,13,11,99,4,7
1976,"brm",,,21,,1,1,0,2,0,0,0,0,0
1977,"ford",2,"2",1,1,17,17,12,14658,29,17,266,14,11
1977,"renault",,,10,,5,4,0,108,0,0,0,0,0
1977,"matra",8,"8",2,1,17,17,1,874,2,2,18,0,1
1977,"alfa-romeo",5,"5",1,2,17,17,0,1549,4,4,27,1,2
1977,"ferrari",1,"1",1,1,17,17,4,1845,16,14,114,2,3
1977,"brm",,,22,15,10,2,0,74,0,0,0,0,0
1978,"ford",1,"1",1,1,16,16,9,13247,27,14,244,12,9
1978,"renault",12,"12",3,4,14,14,0,555,0,0,3,0,0
1978,"matra",6,"6",5,3,16,16,0,944,2,2,19,0,0
1978,"alfa-romeo",3,"3",1,1,16,16,2,1489,10,8,69,2,4
1978,"ferrari",2,"2",1,1,16,16,5,1763,9,8,65,2,3
1979,"ford",2,"2",1,1,15,15,8,11844,28,14,229,7,7
1979,"alfa-romeo",8,"8",3,4,15,15,0,1051,0,0,7,0,0
1979,"renault",6,"6",1,1,15,14,1,948,4,3,26,6,2
1979,"ferrari",1,"1",1,1,15,15,6,1821,13,10,113,2,6
1980,"ford",1,"1",1,1,14,14,11,11120,38,14,300,8,10
1980,"renault",4,"4",1,1,14,14,3,1123,4,4,38,5,4
1980,"alfa-romeo",11,"11",1,5,14,14,0,791,0,0,4,1,0
1980,"ferrari",10,"10",3,5,14,14,0,1328,0,0,8,0,0
1981,"ford",1,"1",1,1,15,15,8,10723,27,15,233,7,10
1981,"hart",,,22,10,12,2,0,92,0,0,0,0,0
1981,"renault",3,"3",1,1,15,15,3,1151,7,7,54,6,2
1981,"matra",4,"4",1,1,15,15,2,1114,7,7,44,1,1
1981,"alfa-romeo",9,"9",6,3,15,15,0,1423,1,1,10,0,0
1981,"ferrari",5,"5",1,1,15,15,2,1195,3,3,34,1,2
1982,"hart",,,8,10,14,11,0,388,0,0,0,0,1
1982,"ford",2,"2",1,1,16,16,8,10877,22,14,214,1,5
1982,"renault",3,"3",1,1,16,16,4,1317,8,6,62,10,5
1982,"matra",8,"8",4,2,15,15,0,1134,4,4,20,0,0
1982,"alfa-romeo",10,"10",1,3,16,16,0,1218,1,1,7,1,0
1982,"bmw",7,"7",1,1,13,12,1,743,2,2,22,1,3
1982,"ferrari",1,"1",1,1,16,14,3,1203,11,8,74,3,2
1983,"ford",4,"4",1,1,15,15,3,7891,8,5,88,1,2
1983,"hart",9,"9",5,4,15,15,0,1125,0,0,10,0,0
1983,"renault",2,"2",1,1,15,15,4,2113,12,9,90,4,4
1983,"bmw",3,"3",1,1,15,15,4,1936,10,9,72,2,5
1983,"alfa-romeo",6,"6",3,2,15,15,0,1513,2,2,18,0,1
1983,"tag",,,10,11,4,4,0,212,0,0,0,0,0
1983,"ferrari",1,"1",1,1,15,15,4,1494,12,9,89,8,3
1983,"honda",11,"11",6,5,7,7,0,289,0,0,2,0,0
1984,"ford",9,"9",19,5,13,13,0,497,0,0,3,0,0
1984,"bmw",4,"4",1,1,16,16,2,2677,5,4,41,9,3
1984,"alfa-romeo",8,"8",7,3,16,16,0,1879,1,1,13,0,0
1984,"renault",3,"3",1,2,16,16,0,4077,11,10,84,3,2
1984,"tag",1,"1",1,1,16,16,12,1672,18,13,143.5,3,8
1984,"ferrari",2,"2",1,1,16,16,1,1499,8,7,57.5,1,2
1984,"hart",7,"7",3,2,16,16,0,2534,3,3,16,0,1
1984,"honda",6,"6",2,1,16,16,1,1113,2,2,25.5,0,0
1985,"bmw",5,"5",1,1,16,16,1,2741,3,3,40,1,0
1985,"alfa-romeo",,,4,7,16,16,0,1473,0,0,0,0,0
1985,"honda",3,"3",1,1,16,16,4,1459,8,6,71,3,4
1985,"renault",4,"4",1,1,16,16,3,4844,15,12,113,8,4
1985,"tag",1,"1",1,1,16,16,6,1556,12,11,90,2,6
1985,"ford",9,"9",18,4,10,9,0,790,0,0,4,0,0
1985,"motori-moderni",,,19,8,14,12,0,406,0,0,0,0,0
1985,"ferrari",2,"2",1,1,16,16,2,1520,10,8,82,1,2
1985,"hart",,,1,9,16,16,0,983,0,0,0,1,0
1985,"zakspeed",,,17,11,10,9,0,196,0,0,0,0,0
1986,"bmw",6,"6",1,1,16,16,1,3915,2,2,22,2,3
1986,"honda",1,"1",1,1,16,16,9,1826,19,12,141,4,11
1986,"renault",3,"3",1,1,16,16,2,4582,10,8,98,8,0
